shipment_id,user_id,kota_asal,kota_tujuan,berat_kg,panjang_cm,lebar_cm,tinggi_cm,berat_volume_kg,harga_jual_produk,jenis_layanan,tarif_ongkir,estimasi_sla,persentase_ongkir,selisih_harga_layanan,selisih_waktu_sla_hari,is_recommended,alasan_rekomendasi,timestamp_cek,frekuensi_cek_bulanan,flag_upsell_bisnisaja
SHP00001,UMKM_5557,Surabaya,Banjarmasin,2.28,14,29,15,1.01,300000,Next Day,23000,1 Hari,7.67,12000,0.7,False,Next Day bukan pilihan optimal: ongkir 7.67% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-16 12:29:00,25,True
SHP00001,UMKM_5557,Surabaya,Banjarmasin,2.28,14,29,15,1.01,300000,Same Day,35000,Beberapa Jam,11.67,24000,0.0,False,Same Day bukan pilihan optimal: ongkir 11.67% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-16 12:29:00,25,True
SHP00001,UMKM_5557,Surabaya,Banjarmasin,2.28,14,29,15,1.01,300000,Ekonomi,11000,3-5 Hari,3.67,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (3.67% dari harga jual), hemat sekitar 69% dibanding opsi lain",2026-08-16 12:29:00,25,True
SHP00002,UMKM_2654,Samarinda,Jakarta Pusat,1.99,12,35,25,1.75,150000,Same Day,60000,Beberapa Jam,40.0,41000,0.0,False,Same Day bukan pilihan optimal: ongkir 40.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-18 09:13:00,37,True
SHP00002,UMKM_2654,Samarinda,Jakarta Pusat,1.99,12,35,25,1.75,150000,Reguler,25000,2-3 Hari,16.67,6000,2.2,False,Reguler bukan pilihan optimal: ongkir 16.67% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-18 09:13:00,37,True
SHP00002,UMKM_2654,Samarinda,Jakarta Pusat,1.99,12,35,25,1.75,150000,Next Day,40000,1 Hari,26.67,21000,0.7,False,Next Day bukan pilihan optimal: ongkir 26.67% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-18 09:13:00,37,True
SHP00002,UMKM_2654,Samarinda,Jakarta Pusat,1.99,12,35,25,1.75,150000,Ekonomi,19000,3-5 Hari,12.67,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (12.67% dari harga jual), hemat sekitar 68% dibanding opsi lain",2026-08-18 09:13:00,37,True
SHP00003,UMKM_8428,Pekanbaru,Malang,1.31,18,17,40,2.04,300000,Same Day,51500,Beberapa Jam,17.17,35500,0.0,False,Same Day bukan pilihan optimal: ongkir 17.17% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-17 20:57:00,38,True
SHP00003,UMKM_8428,Pekanbaru,Malang,1.31,18,17,40,2.04,300000,Reguler,21500,2-3 Hari,7.17,5500,2.2,False,Reguler bukan pilihan optimal: ongkir 7.17% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-17 20:57:00,38,True
SHP00003,UMKM_8428,Pekanbaru,Malang,1.31,18,17,40,2.04,300000,Ekonomi,16000,3-5 Hari,5.33,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (5.33% dari harga jual), hemat sekitar 69% dibanding opsi lain",2026-08-17 20:57:00,38,True
